hive,day,hour,temp,humid,weight,file_size,workers_avg,drones_avg,total,ratio,workers_array,drones_array
AppMAIS12L,2022-07-01,09,95.0,56.4,56.2,19663172,14.6,0.2,14.799999999999999,73.0,"[13, 15, 17, 16, 12]","[0, 1, 0, 0, 0]"
AppMAIS12L,2022-07-01,10,95.18,56.3,56.17,28021532,14.0,0.2,14.2,70.0,"[15, 14, 15, 14, 12]","[0, 0, 1, 0, 0]"
AppMAIS12L,2022-07-01,11,95.18,56.2,56.35,28465127,15.8,0.2,16.0,79.0,"[13, 16, 14, 19, 17]","[0, 1, 0, 0, 0]"
AppMAIS12L,2022-07-01,12,95.36,56.3,56.72,26192304,18.6,0.2,18.8,93.0,"[19, 21, 18, 18, 17]","[0, 0, 0, 1, 0]"
AppMAIS12L,2022-07-01,13,95.36,56.3,56.96,27685144,14.2,0.6,14.799999999999999,23.67,"[14, 14, 11, 15, 17]","[1, 0, 1, 0, 1]"
AppMAIS12L,2022-07-01,16,95.0,56.5,58.0,32673753,28.0,0.6,28.6,46.67,"[29, 32, 28, 26, 25]","[1, 1, 1, 0, 0]"
AppMAIS12L,2022-07-01,17,95.36,56.6,58.27,42838971,25.6,0.6,26.200000000000003,42.67,"[28, 26, 22, 26, 26]","[1, 0, 0, 1, 1]"
AppMAIS12L,2022-07-01,18,95.54,56.6,58.86,37669760,29.2,0.6,29.8,48.67,"[32, 30, 27, 31, 26]","[1, 1, 1, 0, 0]"
AppMAIS12L,2022-07-01,19,95.18,56.6,59.11,27550996,20.2,0.2,20.4,101.0,"[21, 22, 21, 18, 19]","[1, 0, 0, 0, 0]"
AppMAIS12L,2022-07-02,08,94.64,56.5,58.88,26080953,30.0,0.8,30.8,37.5,"[29, 30, 28, 31, 32]","[1, 0, 1, 1, 1]"
AppMAIS12L,2022-07-02,09,94.82,56.4,58.61,26937423,27.0,0.2,27.2,135.0,"[28, 27, 26, 28, 26]","[0, 0, 0, 1, 0]"
AppMAIS12L,2022-07-02,12,95.36,56.4,58.14,22518383,9.2,0.2,9.399999999999999,46.0,"[9, 7, 9, 11, 10]","[0, 0, 0, 0, 1]"
AppMAIS12L,2022-07-02,15,96.26,56.6,59.19,32959237,28.6,0.4,29.0,71.5,"[26, 29, 33, 29, 26]","[0, 0, 0, 1, 1]"
AppMAIS12L,2022-07-02,16,96.26,56.7,59.45,36207339,24.2,0.8,25.0,30.25,"[23, 20, 26, 25, 27]","[1, 1, 1, 0, 1]"
AppMAIS12L,2022-07-02,17,95.9,56.7,59.69,45203850,31.0,3.0,34.0,10.33,"[35, 32, 30, 30, 28]","[2, 3, 3, 3, 4]"
AppMAIS12L,2022-07-02,18,95.72,56.8,59.85,38572633,27.4,0.4,27.799999999999997,68.5,"[25, 27, 27, 28, 30]","[1, 0, 1, 0, 0]"
AppMAIS12L,2022-07-02,19,95.54,56.8,60.02,40774792,36.6,0.4,37.0,91.5,"[37, 37, 38, 33, 38]","[0, 0, 1, 0, 1]"
AppMAIS12L,2022-07-02,20,94.82,56.8,60.08,31242322,32.0,0.6,32.6,53.33,"[35, 33, 32, 31, 29]","[1, 0, 1, 0, 1]"
AppMAIS12L,2022-07-03,09,94.46,56.7,60.03,34488743,28.4,0.2,28.599999999999998,142.0,"[27, 29, 29, 29, 28]","[0, 0, 0, 0, 1]"
AppMAIS12L,2022-07-03,12,95.0,56.7,59.05,27410596,14.0,0.2,14.2,70.0,"[11, 14, 15, 16, 14]","[0, 0, 0, 0, 1]"
AppMAIS12L,2022-07-03,13,95.9,56.7,59.33,33192414,23.4,0.6,24.0,39.0,"[26, 25, 24, 21, 21]","[1, 1, 1, 0, 0]"
AppMAIS12L,2022-07-03,15,95.18,56.8,59.78,33580679,23.0,0.4,23.4,57.5,"[24, 24, 24, 23, 20]","[0, 0, 1, 1, 0]"
AppMAIS12L,2022-07-03,16,94.82,56.9,60.44,32361827,37.2,1.2,38.400000000000006,31.0,"[39, 41, 38, 33, 35]","[1, 1, 2, 1, 1]"
AppMAIS12L,2022-07-03,19,94.46,56.8,61.17,20488989,26.2,0.6,26.8,43.67,"[27, 27, 24, 26, 27]","[0, 0, 1, 1, 1]"
AppMAIS12L,2022-07-04,09,94.46,56.4,60.32,17035506,11.6,0.2,11.799999999999999,58.0,"[15, 11, 11, 11, 10]","[1, 0, 0, 0, 0]"
AppMAIS12L,2022-07-04,11,94.46,56.5,59.58,24434075,13.4,0.2,13.6,67.0,"[17, 15, 12, 11, 12]","[0, 1, 0, 0, 0]"
AppMAIS12L,2022-07-04,12,94.82,56.5,59.3,26222159,7.4,0.4,7.800000000000001,18.5,"[7, 9, 5, 9, 7]","[0, 0, 1, 1, 0]"
