hive,day,hour,temp,humid,weight,file_size,workers_avg,drones_avg,total,ratio,workers_array,drones_array
AppMAIS7R,2022-04-11,10,87.8,63.5,38.9,68640594,14.4,0.2,14.6,72.0,"[0, 9, 19, 24, 20]","[0, 0, 0, 0, 1]"
AppMAIS7R,2022-04-11,11,93.74,52.1,39.14,85064191,19.2,0.6,19.8,32.0,"[0, 7, 34, 28, 27]","[0, 0, 1, 1, 1]"
AppMAIS7R,2022-04-11,12,94.82,46.6,39.19,95982947,25.0,0.8,25.8,31.25,"[0, 3, 38, 43, 41]","[0, 0, 1, 2, 1]"
AppMAIS7R,2022-04-11,13,95.36,44.8,39.2,88026147,29.6,5.4,35.0,5.48,"[31, 30, 31, 26, 30]","[2, 6, 7, 7, 5]"
AppMAIS7R,2022-04-11,14,94.82,38.3,39.09,68159518,24.8,4.4,29.200000000000003,5.64,"[1, 16, 38, 37, 32]","[0, 2, 6, 7, 7]"
AppMAIS7R,2022-04-11,15,93.02,32.9,39.16,50306118,21.0,0.6,21.6,35.0,"[2, 23, 30, 27, 23]","[0, 1, 1, 0, 1]"
AppMAIS7R,2022-04-11,16,92.3,33.9,39.08,35776246,24.2,2.8,27.0,8.64,"[23, 23, 30, 23, 22]","[3, 2, 2, 3, 4]"
AppMAIS7R,2022-04-11,17,92.12,31.3,39.13,30071604,17.8,0.8,18.6,22.25,"[18, 17, 18, 19, 17]","[0, 1, 1, 1, 1]"
AppMAIS7R,2022-04-12,09,82.58,37.3,38.1,7792189,5.8,0.8,6.6,7.25,"[5, 7, 5, 6, 6]","[1, 1, 1, 0, 1]"
AppMAIS7R,2022-04-12,12,88.7,38.3,38.25,25431721,21.4,0.8,22.2,26.75,"[14, 22, 25, 24, 22]","[0, 2, 2, 0, 0]"
AppMAIS7R,2022-04-12,14,88.52,36.5,38.65,25050515,11.2,1.0,12.2,11.2,"[9, 12, 11, 12, 12]","[2, 1, 1, 1, 0]"
AppMAIS7R,2022-04-12,15,89.96,41.2,38.6,48721966,22.2,2.0,24.2,11.1,"[13, 23, 24, 26, 25]","[1, 3, 2, 2, 2]"
AppMAIS7R,2022-04-12,16,87.44,34.0,38.79,21242615,21.2,0.2,21.4,106.0,"[23, 23, 20, 20, 20]","[0, 0, 0, 1, 0]"
AppMAIS7R,2022-04-12,19,90.86,48.6,38.4,25689520,17.8,0.4,18.2,44.5,"[17, 17, 19, 20, 16]","[2, 0, 0, 0, 0]"
AppMAIS7R,2022-04-12,20,87.8,43.5,38.43,15282593,0.8,0.2,1.0,4.0,"[1, 1, 1, 0, 1]","[1, 0, 0, 0, 0]"
AppMAIS7R,2022-04-13,10,81.14,47.2,38.02,6405283,6.4,0.4,6.800000000000001,16.0,"[7, 6, 6, 6, 7]","[0, 0, 1, 1, 0]"
AppMAIS7R,2022-04-13,12,84.2,44.4,38.24,18388125,15.8,0.2,16.0,79.0,"[8, 16, 17, 20, 18]","[0, 0, 1, 0, 0]"
AppMAIS7R,2022-04-13,13,81.86,42.7,38.32,12833158,11.2,0.8,12.0,14.0,"[1, 13, 14, 15, 13]","[0, 1, 1, 1, 1]"
AppMAIS7R,2022-04-13,14,87.62,41.8,38.44,20722226,6.2,0.8,7.0,7.75,"[0, 5, 10, 8, 8]","[0, 1, 1, 1, 1]"
AppMAIS7R,2022-04-13,15,88.88,42.5,38.54,30814373,14.8,0.6,15.4,24.67,"[3, 21, 17, 17, 16]","[1, 1, 1, 0, 0]"
